Time,Precipitation (mm),Temperature (°C),Humidity,cloud cover,wind speed,shortwave_radiation
2024-04-29 00:00:00,0.0,13.4,93.0,0.0,3.8,0.0
2024-04-29 01:00:00,0.0,12.8,95.0,0.0,6.5,0.0
2024-04-29 02:00:00,0.0,12.2,97.0,0.0,6.9,0.0
2024-04-29 03:00:00,0.0,11.7,98.0,0.0,6.6,0.0
2024-04-29 04:00:00,0.0,11.3,98.0,0.0,5.9,0.0
2024-04-29 05:00:00,0.0,11.9,96.0,10.0,4.2,0.0
2024-04-29 06:00:00,0.0,12.1,95.0,100.0,7.9,0.0
2024-04-29 07:00:00,0.0,13.6,92.0,100.0,6.6,34.0
2024-04-29 08:00:00,0.0,13.9,92.0,100.0,5.5,133.0
2024-04-29 09:00:00,0.0,15.2,84.0,98.0,2.8,295.0
2024-04-29 10:00:00,0.0,17.3,72.0,32.0,5.8,565.0
2024-04-29 11:00:00,0.0,19.0,66.0,13.0,10.5,794.0
2024-04-29 12:00:00,0.0,19.9,63.0,3.0,15.4,927.0
2024-04-29 13:00:00,0.0,20.1,59.0,0.0,17.4,979.0
2024-04-29 14:00:00,0.0,20.2,58.0,0.0,17.3,965.0
2024-04-29 15:00:00,0.0,20.0,60.0,1.0,17.8,886.0
2024-04-29 16:00:00,0.0,19.6,61.0,1.0,16.2,748.0
2024-04-29 17:00:00,0.0,19.0,65.0,1.0,14.2,562.0
2024-04-29 18:00:00,0.0,17.9,73.0,0.0,12.5,350.0
2024-04-29 19:00:00,0.0,17.0,79.0,0.0,7.6,138.0
2024-04-29 20:00:00,0.0,16.2,84.0,0.0,5.1,9.0
2024-04-29 21:00:00,0.0,15.6,89.0,0.0,5.2,0.0
2024-04-29 22:00:00,0.0,15.0,94.0,0.0,4.9,0.0
2024-04-29 23:00:00,0.0,14.4,97.0,0.0,5.4,0.0
2024-04-30 00:00:00,0.0,13.9,98.0,0.0,5.8,0.0
2024-04-30 01:00:00,0.0,13.5,97.0,0.0,6.6,0.0
2024-04-30 02:00:00,0.0,13.0,97.0,5.0,6.5,0.0
2024-04-30 03:00:00,0.0,12.8,97.0,10.0,4.7,0.0
2024-04-30 04:00:00,0.0,12.8,97.0,12.0,4.1,0.0
2024-04-30 05:00:00,0.0,12.0,98.0,33.0,5.6,0.0
2024-04-30 06:00:00,0.0,13.0,97.0,100.0,5.9,0.0
2024-04-30 07:00:00,0.0,13.2,97.0,100.0,6.2,25.0
2024-04-30 08:00:00,0.0,13.8,94.0,100.0,6.2,82.0
2024-04-30 09:00:00,0.0,14.9,87.0,100.0,5.2,197.0
2024-04-30 10:00:00,0.0,15.9,81.0,100.0,4.0,306.0
2024-04-30 11:00:00,0.0,17.4,73.0,51.0,6.6,510.0
2024-04-30 12:00:00,0.0,19.2,65.0,15.0,13.5,877.0
2024-04-30 13:00:00,0.0,19.6,64.0,5.0,18.3,975.0
2024-04-30 14:00:00,0.0,19.7,61.0,0.0,19.4,965.0
2024-04-30 15:00:00,0.0,19.6,62.0,0.0,18.6,888.0
2024-04-30 16:00:00,0.0,19.1,64.0,0.0,17.8,749.0
2024-04-30 17:00:00,0.0,18.5,67.0,0.0,16.0,564.0
2024-04-30 18:00:00,0.0,17.1,74.0,1.0,15.3,348.0
2024-04-30 19:00:00,0.0,16.1,79.0,1.0,12.6,138.0
2024-04-30 20:00:00,0.0,15.4,84.0,2.0,10.2,9.0
2024-04-30 21:00:00,0.0,15.2,85.0,2.0,10.4,0.0
2024-04-30 22:00:00,0.0,14.9,86.0,7.0,10.6,0.0
2024-04-30 23:00:00,0.0,14.4,89.0,6.0,10.5,0.0
2024-05-01 00:00:00,0.0,14.0,90.0,0.0,9.3,0.0
2024-05-01 01:00:00,0.0,13.5,91.0,0.0,8.1,0.0
2024-05-01 02:00:00,0.0,13.1,92.0,0.0,7.9,0.0
2024-05-01 03:00:00,0.0,12.9,92.0,1.0,9.7,0.0
2024-05-01 04:00:00,0.0,12.4,93.0,4.0,8.4,0.0
2024-05-01 05:00:00,0.0,12.1,94.0,18.0,8.6,0.0
2024-05-01 06:00:00,0.0,12.5,93.0,34.0,8.0,0.0
2024-05-01 07:00:00,0.0,13.4,88.0,27.0,9.3,44.0
2024-05-01 08:00:00,0.0,15.3,79.0,18.0,7.8,220.0
2024-05-01 09:00:00,0.0,17.0,69.0,68.0,5.8,415.0
2024-05-01 10:00:00,0.0,18.1,63.0,98.0,7.4,475.0
2024-05-01 11:00:00,0.0,19.3,60.0,55.0,10.1,720.0
2024-05-01 12:00:00,0.0,19.5,62.0,14.0,16.9,811.0
2024-05-01 13:00:00,0.0,19.8,58.0,0.0,19.2,953.0
2024-05-01 14:00:00,0.0,19.8,57.0,0.0,18.5,959.0
2024-05-01 15:00:00,0.0,19.6,61.0,0.0,18.4,882.0
2024-05-01 16:00:00,0.0,19.3,63.0,0.0,16.9,745.0
2024-05-01 17:00:00,0.0,18.7,66.0,0.0,15.3,560.0
2024-05-01 18:00:00,0.0,17.0,71.0,15.0,12.9,332.0
2024-05-01 19:00:00,0.0,16.1,74.0,8.0,9.6,132.0
2024-05-01 20:00:00,0.0,15.4,78.0,0.0,7.8,9.0
2024-05-01 21:00:00,0.0,15.1,79.0,1.0,6.7,0.0
2024-05-01 22:00:00,0.0,14.9,80.0,0.0,5.8,0.0
2024-05-01 23:00:00,0.0,14.7,82.0,1.0,3.7,0.0
2024-05-02 00:00:00,0.0,14.3,86.0,0.0,2.9,0.0
2024-05-02 01:00:00,0.0,13.8,87.0,0.0,4.7,0.0
2024-05-02 02:00:00,0.0,13.3,90.0,0.0,5.6,0.0
2024-05-02 03:00:00,0.0,12.9,91.0,0.0,7.1,0.0
2024-05-02 04:00:00,0.0,12.6,92.0,0.0,7.9,0.0
2024-05-02 05:00:00,0.0,12.3,93.0,0.0,8.0,0.0
2024-05-02 06:00:00,0.0,13.0,92.0,2.0,7.9,0.0
2024-05-02 07:00:00,0.0,13.9,85.0,0.0,8.5,51.0
2024-05-02 08:00:00,0.0,15.5,78.0,1.0,6.9,233.0
2024-05-02 09:00:00,0.0,17.3,69.0,51.0,6.2,441.0
2024-05-02 10:00:00,0.0,18.9,62.0,57.0,7.2,580.0
2024-05-02 11:00:00,0.0,19.8,60.0,42.0,12.2,727.0
2024-05-02 12:00:00,0.0,19.8,62.0,0.0,17.9,916.0
2024-05-02 13:00:00,0.0,20.0,60.0,0.0,17.8,976.0
2024-05-02 14:00:00,0.0,19.9,60.0,0.0,18.0,961.0
2024-05-02 15:00:00,0.0,19.6,62.0,0.0,17.6,880.0
2024-05-02 16:00:00,0.0,19.2,64.0,0.0,15.1,742.0
2024-05-02 17:00:00,0.0,18.9,65.0,0.0,13.0,561.0
2024-05-02 18:00:00,0.0,16.9,71.0,0.0,14.0,344.0
2024-05-02 19:00:00,0.0,16.2,76.0,7.0,12.1,138.0
2024-05-02 20:00:00,0.0,15.8,78.0,26.0,7.3,10.0
2024-05-02 21:00:00,0.0,15.7,79.0,40.0,3.5,0.0
2024-05-02 22:00:00,0.0,15.6,79.0,97.0,0.4,0.0
2024-05-02 23:00:00,0.0,15.7,79.0,100.0,4.1,0.0
2024-05-03 00:00:00,0.0,15.5,79.0,99.0,5.0,0.0
2024-05-03 01:00:00,0.0,15.2,81.0,27.0,4.7,0.0
2024-05-03 02:00:00,0.0,14.4,85.0,2.0,6.3,0.0
2024-05-03 03:00:00,0.0,13.9,88.0,8.0,6.7,0.0
2024-05-03 04:00:00,0.0,13.7,89.0,84.0,9.1,0.0
2024-05-03 05:00:00,0.0,13.4,91.0,92.0,8.8,0.0
2024-05-03 06:00:00,0.0,14.8,84.0,100.0,9.4,0.0
2024-05-03 07:00:00,0.0,14.9,84.0,100.0,9.7,18.0
2024-05-03 08:00:00,0.0,15.5,78.0,100.0,8.6,93.0
2024-05-03 09:00:00,0.0,16.3,73.0,100.0,6.8,191.0
2024-05-03 10:00:00,0.0,17.5,67.0,100.0,5.8,365.0
2024-05-03 11:00:00,0.0,19.0,60.0,58.0,7.3,536.0
2024-05-03 12:00:00,0.0,20.0,57.0,0.0,15.6,880.0
2024-05-03 13:00:00,0.0,19.6,62.0,0.0,19.8,972.0
2024-05-03 14:00:00,0.0,19.8,60.0,0.0,18.4,965.0
