pH,DissolvedOxygen,ElectricalConductance,WaterTemperature,Potability
7.3,9.2,515,6.7,1
7.5,9.7,720,6.7,1
7.6,7.6,720,11.1,1
7.5,7,840,12.2,1
7.5,8.2,610,12.2,1
7.7,8.7,490,15.6,1
7.7,7.7,320,14.4,1
7.5,7.9,280,13.3,1
7.6,7.5,240,14.4,1
7.6,8.5,278,15.6,1
7.7,8.5,325,20,1
7.7,6.6,438,15.6,1
7.7,7.4,523,16.1,1
7,6.7,540,17.8,1
7.5,8.4,540,18.3,1
7.9,7.4,470,16.7,1
7.7,7.2,415,21.1,1
7.5,9.3,400,20,1
8.1,7.9,369,21.1,0
7.6,7.5,370,24.4,1
7.7,7.8,333,23.3,1
7.7,7.3,370,20.6,1
7.5,7,380,22.8,1
7.7,7.4,350,24.2,1
7.7,7.5,350,24.4,1
7.2,7.7,320,20.6,1
7.2,8,370,21.7,1
7.5,8,440,21.1,1
7.3,8.1,450,21.1,1
7.2,8.4,445,17.8,1
8.3,8.4,270,17.8,0
7.5,9.5,285,16.7,1
7.5,10.1,300,16.1,0
7.3,8.5,260,15.3,1
7.7,9.5,310,13.3,1
7.2,10.5,260,13.3,0
7.5,9.9,230,12.2,1
7.3,10.1,200,10,0
7.2,10.4,210,13.3,0
7.4,9.7,200,11.7,1
7.3,8.8,200,7.8,1
7.4,10.1,160,10,0
7.1,9.7,110,8.9,1
7.2,9.8,108,8.9,1
7.2,10,80,10,1
7,10.2,105,9.4,0
7.5,10,120,8.9,1
7.3,9.8,240,13.3,1
7.4,9.5,283,10.6,1
7.4,9,275,12.8,1
7.1,9.2,220,11.1,1
7.9,8.2,225,12.2,1
7.3,8.7,200,12.2,1
7.8,8.2,205,15.6,1
8,9.8,230,15,1
8.4,8,205,13.9,0
7.4,7.9,220,15.6,1
7.3,7.4,240,14.4,1
7.5,8.3,370,15,1
7.3,8.7,320,15.6,1
7.5,6.6,320,17.8,1
7.6,7.6,305,14.4,1
7.3,8.6,370,17.8,1
7.6,6,285,17.8,1
7.1,5.5,268,22.2,1
7.1,7,280,19.4,1
7,6.6,295,17.8,1
7.7,6.4,310,21.1,1
7.2,6.9,360,21.1,1
7.4,6.7,380,22.2,1
7.3,6.7,385,25.6,1
7.4,6.1,330,23.9,1
7.4,7.7,480,25,1
7.2,7,360,25.6,1
8,6.5,410,26.7,1
8,7.5,640,24.4,1
7.9,7.5,260,25.6,1
8.2,7.2,490,25.6,0
7.6,7,560,25.6,1
7,9.9,260,22.2,1
7.6,10.4,260,22.2,0
7.2,9.9,275,18.9,1
8.2,9,275,16.7,0
7.4,10.6,255,18.9,0
7.3,10.9,410,16.7,0
7.7,8.7,670,16.7,1
7.9,9.9,475,16.7,1
7.3,8.5,320,12.2,1
7.9,9.1,300,10.6,1
7.9,9.6,590,8.9,1
7.5,6.4,590,11.1,1
8.3,6,680,11.1,0
7.7,9.8,740,8.3,1
8.4,8.1,675,8.9,0
8.2,7.5,620,12.2,0
7.8,8.9,360,13.3,1
7.7,10.8,255,14.4,0
8.4,9.7,510,14.4,0
7.7,9.8,480,14.4,1
8,9.8,355,16.7,1
8,8.8,260,21.1,1
8.1,8.1,282,24.4,0
8.3,7.6,450,21.1,0
8.4,7.4,380,22.8,0
8.5,6.3,460,18.9,0
8.2,8.2,460,15.6,0
7.8,9.7,350,12.2,1
7.7,11,350,10,0
7.5,11,275,10,0
7.5,11,185,14.4,0
8.3,9.6,180,15,0
7,9.6,180,18.9,1
8.5,9.4,260,20,0
